catalogNumber;basisOfRecord;decimalLatitude;decimalLongitude;Class;order;family;genus;specificEpithet;infraspecificEpithet;nameAcordingTo;verbatimTaxonRank;taxonRank;acceptedNameUsage;;;establishmentMeans;;;locationRemarks;sex
AA0336;;348560;6284383;Magnoliopsida;Sapindales;Meliaceae;Melia;azedarach;;L.;;;Melia azedarach L.;ACCEPTED;Viva;Exotica;2019;;;
AA0337;;348556;6284384;Magnoliopsida;Sapindales;Meliaceae;Melia;azedarach;;L.;;;Melia azedarach L.;ACCEPTED;Viva;Exotica;2019;;;
AA0338;;348553;6284384;Magnoliopsida;Sapindales;Meliaceae;Melia;azedarach;;L.;;;Melia azedarach L.;ACCEPTED;Viva;Exotica;2019;;;
AA0339;;348550;6284385;Magnoliopsida;Sapindales;Meliaceae;Melia;azedarach;;L.;;;Melia azedarach L.;ACCEPTED;Viva;Exotica;2019;;;
AA0340;;348545;6284386;Magnoliopsida;Sapindales;Meliaceae;Melia;azedarach;;L.;;;Melia azedarach L.;ACCEPTED;Viva;Exotica;2019;;;
AA0341;;348561;6284391;Magnoliopsida;Fabales;Fabaceae;Robinia;pseudoacacia;;L.;;;Robinia pseudoacacia L.;ACCEPTED;Viva;Exotica;2019;;;
AA0342;;348581;6284392;Magnoliopsida;Malpighiales;Euphorbiaceae;Colliguaja;odorifera;;Molina.;;;Colliguaja odorifera Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0343;;348587;6284390;Magnoliopsida;Malpighiales;Euphorbiaceae;Colliguaja;odorifera;;Molina.;;;Colliguaja odorifera Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0344;;348558;6284392;Magnoliopsida;Sapindales;Simaroubaceae;Ailanthus;altissima;;Swingle;;;Ailanthus altissima Swingle;ACCEPTED;Extraido;Exotica;2019;;;
AA0345;;348548;6284389;Magnoliopsida;Myrtales;Onagraceae;Fuchsia;magellanica;;Lam.;;;Fuchsia magellanica Lam.;ACCEPTED;Viva;Nativa;2019;2015;;
AA0346;;348553;6284381;Magnoliopsida;Fabales;Fabaceae;Sophora;macrocarpa;;Sm.;;;Sophora macrocarpa Sm.;ACCEPTED;Viva;Nativa;2019;;;
AA0347;;348553;6284379;Magnoliopsida;Myrtales;Onagraceae;Fuchsia;magellanica;;Lam.;;;Fuchsia magellanica Lam.;ACCEPTED;Viva;Nativa;2019;2015;;
AA0348;;348640;6284387;Magnoliopsida;Fabales;Fabaceae;Geoffroea;decorticans;;Burkart;;;Geoffroea decorticans (Gillies ex Hook. & Arn.) Burkart;ACCEPTED;Viva;Nativa;2019;2015;;
AA0349;;348640;6284394;Magnoliopsida;Fabales;Fabaceae;Geoffroea;decorticans;;Burkart;;;Geoffroea decorticans (Gillies ex Hook. & Arn.) Burkart;ACCEPTED;Viva;Nativa;2019;2015;;
AA0350;;348640;6284401;Magnoliopsida;Fabales;Fabaceae;Geoffroea;decorticans;;Burkart;;;Geoffroea decorticans (Gillies ex Hook. & Arn.) Burkart;ACCEPTED;Viva;Nativa;2019;2015;;
AA0351;;348633;6284418;Magnoliopsida;Fabales;Fabaceae;Geoffroea;decorticans;;Burkart;;;Geoffroea decorticans (Gillies ex Hook. & Arn.) Burkart;ACCEPTED;Viva;Nativa;2019;2015;;
AA0352;;348633;6284415;Magnoliopsida;Fabales;Fabaceae;Prosopis;alba;;Griseb.;;;Prosopis alba Griseb.;ACCEPTED;Viva;Nativa;2019;2016;;
AA0353;;348631;6284417;Magnoliopsida;Fabales;Fabaceae;Prosopis;alba;;Griseb.;;;Prosopis alba Griseb.;ACCEPTED;Viva;Nativa;2019;;;
AA0354;;348630;6284411;Magnoliopsida;Rosales;Rosaceae;Polylepis;rugulosa;;Bitter;;;Polylepis rugulosa Bitter;ACCEPTED;Viva;Nativa;2019;2016;;
AA0355;;348630;6284398;Magnoliopsida;Fabales;Fabaceae;Prosopis;chilensis;;Stuntz.;;;Prosopis chilensis Stuntz.;ACCEPTED;Viva;Nativa;2019;2016;;
AA0356;;348632;6284393;Magnoliopsida;Fabales;Fabaceae;Caesalpinia;spinosa;;Kuntze;;;Caesalpinia spinosa (Molina.) Kuntze;ACCEPTED;Viva;Nativa;2019;2016;;
AA0357;;348628;6284390;Magnoliopsida;Fabales;Fabaceae;Caesalpinia;spinosa;;Kuntze;;;Caesalpinia spinosa (Molina.) Kuntze;ACCEPTED;Viva;Nativa;2019;2016;;
AA0358;;348625;6284392;Magnoliopsida;Lamiales;Plantaginaceae;Monttea;chilensis;;J.Gay;;;Monttea chilensis J.Gay;ACCEPTED;Viva;Nativa;2019;2016;;
AA0359;;348625;6284400;Magnoliopsida;Rosales;Rosaceae;Polylepis;rugulosa;;Bitter;;;Polylepis rugulosa Bitter;ACCEPTED;Viva;Nativa;2019;2016;;
AA0360;;348622;6284397;Magnoliopsida;Fabales;Fabaceae;Prosopis;chilensis;;Stuntz.;;;Prosopis chilensis Stuntz.;ACCEPTED;Viva;Nativa;2019;2016;;
AA0361;;348622;6284395;Magnoliopsida;Fabales;Fabaceae;Geoffroea;decorticans;;Burkart;;;Geoffroea decorticans (Gillies ex Hook. & Arn.) Burkart;ACCEPTED;Viva;Nativa;2019;2015;;
AA0362;;348623;6284390;Magnoliopsida;Lamiales;Plantaginaceae;Monttea;chilensis;;J.Gay;;;Monttea chilensis J.Gay;ACCEPTED;Viva;Nativa;2019;2016;;
AA0363;;348619;6284398;Magnoliopsida;Fabales;Fabaceae;Geoffroea;decorticans;;Burkart;;;Geoffroea decorticans (Gillies ex Hook. & Arn.) Burkart;ACCEPTED;Viva;Nativa;2019;2015;;
AA0364;;348620;6284408;Magnoliopsida;Rosales;Rosaceae;Polylepis;tarapacana;;Phil.;;;Polylepis tarapacana Phil.;ACCEPTED;Viva;Nativa;2019;2016;;
AA0365;;348615;6284412;Magnoliopsida;Brassicales;Caricaceae;Vasconcellea;chilensis;;Solms;;;Carica chilensis (Planch.) Solms;SYNONYM;Viva;Nativa;2019;2016;;
AA0366;;348610;6284412;Magnoliopsida;Fabales;Fabaceae;Prosopis;tamarugo;;Phil.;;;Prosopis tamarugo Phil.;ACCEPTED;Viva;Nativa;2019;;;
AA0367;;348607;6284410;Magnoliopsida;Fabales;Fabaceae;Prosopis;tamarugo;;Phil.;;;Prosopis tamarugo Phil.;ACCEPTED;Viva;Nativa;2019;;;
AA0368;;348612;6284394;Magnoliopsida;Boraginales;Ehretiaceae;Cordia;decandra;;Hook. & Arn.;;;Cordia decandra Hook. & Arn.;ACCEPTED;Viva;Nativa;2019;2016;;
AA0369;;348612;6284389;Magnoliopsida;Boraginales;Ehretiaceae;Cordia;decandra;;Hook. & Arn.;;;Cordia decandra Hook. & Arn.;ACCEPTED;Viva;Nativa;2019;2016;;
AA0370;;348601;6284410;Magnoliopsida;Fabales;Fabaceae;Vachellia;macracantha;;Humb. & Bonpl. ex Willd.;;;Acacia macracantha Humb. & Bonpl. ex Willd.;SYNONYM;Viva;Nativa;2019;2016;;
AA0371;;348595;6284414;Magnoliopsida;Fabales;Fabaceae;Prosopis;;;L.;;;Prosopis L.;ACCEPTED;Viva;Nativa;2019;;;
AA0372;;348541;6284390;Magnoliopsida;Oxalidales;Elaeocarpaceae;Aristotelia;chilensis;;Stuntz.;;;Aristotelia chilensis Stuntz.;ACCEPTED;Viva;Nativa;2019;;;
AA0373;;348543;6284391;Magnoliopsida;Fabales;Fabaceae;Robinia;pseudoacacia;;L.;;;Robinia pseudoacacia L.;ACCEPTED;Viva;Exotica;2019;;;
AA0374;;348534;6284394;Magnoliopsida;Laurales;Monimiaceae;Peumus;boldus;;Molina.;;;Peumus boldus Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0375;;348531;6284393;Magnoliopsida;Laurales;Lauraceae;Beilschmiedia;miersii;;Kosterm.;;;Beilschmiedia miersii (Gay) Kosterm.;ACCEPTED;Viva;Nativa;2019;;;
AA0376;;348530;6284393;Magnoliopsida;Laurales;Lauraceae;Beilschmiedia;miersii;;Kosterm.;;;Beilschmiedia miersii (Gay) Kosterm.;ACCEPTED;Viva;Nativa;2019;;;
AA0377;;348530;6284394;Magnoliopsida;Laurales;Lauraceae;Beilschmiedia;miersii;;Kosterm.;;;Beilschmiedia miersii (Gay) Kosterm.;ACCEPTED;Viva;Nativa;2019;;;
AA0378;;348529;6284393;Magnoliopsida;Laurales;Lauraceae;Cryptocarya;alba;;Looser.;;;Cryptocarya alba (Molina.) Looser.;ACCEPTED;Viva;Nativa;2019;;;
AA0379;;348528;6284394;Magnoliopsida;Laurales;Lauraceae;Cryptocarya;alba;;Looser.;;;Cryptocarya alba (Molina.) Looser.;ACCEPTED;Viva;Nativa;2019;;;
AA0380;;348531;6284395;Magnoliopsida;Laurales;Lauraceae;Beilschmiedia;miersii;;Kosterm.;;;Beilschmiedia miersii (Gay) Kosterm.;ACCEPTED;Viva;Nativa;2019;;;
AA0381;;348536;6284398;Magnoliopsida;Laurales;Lauraceae;Cryptocarya;alba;;Looser.;;;Cryptocarya alba (Molina.) Looser.;ACCEPTED;Viva;Nativa;2019;;;
AA0382;;348538;6284399;Magnoliopsida;Fabales;Fabaceae;Robinia;pseudoacacia;;L.;;;Robinia pseudoacacia L.;ACCEPTED;Viva;Exotica;2019;;;
AA0383;;348538;6284403;Magnoliopsida;Laurales;Lauraceae;Cryptocarya;alba;;Looser.;;;Cryptocarya alba (Molina.) Looser.;ACCEPTED;Viva;Nativa;2019;;;
AA0384;;348537;6284405;Magnoliopsida;Vitales;Vitaceae;Clematicissus;striata;;Ruiz & Pav.;;;Cissus striata Ruiz & Pav.;SYNONYM;Viva;Nativa;2019;;;
AA0385;;348537;6284408;Magnoliopsida;Fabales;Quillajaceae;Quillaja;saponaria;;Molina.;;;Quillaja saponaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0386;;348539;6284413;Magnoliopsida;Laurales;Monimiaceae;Peumus;boldus;;Molina.;;;Peumus boldus Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0387;;348540;6284424;Magnoliopsida;Oxalidales;Elaeocarpaceae;Aristotelia;chilensis;;Stuntz.;;;Aristotelia chilensis Stuntz.;ACCEPTED;Viva;Nativa;2019;;;
AA0388;;348539;6284427;Magnoliopsida;Rosales;Moraceae;Morus;alba;;L.;;;Morus alba L.;ACCEPTED;Extraido;Exotica;2019;;;
AA0389;;348532;6284429;Magnoliopsida;Laurales;Lauraceae;Cryptocarya;alba;;Looser.;;;Cryptocarya alba (Molina.) Looser.;ACCEPTED;Viva;Nativa;2019;;;
AA0390;;348530;6284426;Magnoliopsida;Laurales;Lauraceae;Cryptocarya;alba;;Looser.;;;Cryptocarya alba (Molina.) Looser.;ACCEPTED;Viva;Nativa;2019;;;
AA0391;;348527;6284425;Magnoliopsida;Solanales;Solanaceae;Cestrum;parqui;;L'Hér.;;;Cestrum parqui L'Hér.;ACCEPTED;Viva;Nativa;2019;;;
AA0392;;348524;6284426;Magnoliopsida;Malpighiales;Salicaceae;Azara;celastrina;;D.Don;;;Azara celastrina D.Don;ACCEPTED;Viva;Nativa;2019;;;
AA0393;;348522;6284424;Magnoliopsida;Laurales;Lauraceae;Cryptocarya;alba;;Looser.;;;Cryptocarya alba (Molina.) Looser.;ACCEPTED;Viva;Nativa;2019;;;
AA0394;;348516;6284426;Magnoliopsida;Laurales;Lauraceae;Cryptocarya;alba;;Looser.;;;Cryptocarya alba (Molina.) Looser.;ACCEPTED;Viva;Nativa;2019;;;
AA0395;;348516;6284432;Magnoliopsida;Rosales;Rosaceae;Prunus;cerasifera;;Ehrh.;;;Prunus cerasifera Ehrh.;ACCEPTED;Extraido;Nativa;2019;;;
AA0396;;348514;6284423;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;latifolius;;Engl.;;;Schinus latifolius Engl.;ACCEPTED;Viva;Nativa;2019;;;
AA0397;;348512;6284419;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Extraido;Exotica;2019;;;
AA0398;;348519;6284420;Magnoliopsida;Laurales;Lauraceae;Cryptocarya;alba;;Looser.;;;Cryptocarya alba (Molina.) Looser.;ACCEPTED;Viva;Nativa;2019;;;
AA0399;;348522;6284420;Magnoliopsida;Laurales;Lauraceae;Cryptocarya;alba;;Looser.;;;Cryptocarya alba (Molina.) Looser.;ACCEPTED;Viva;Nativa;2019;;;
AA0400;;348526;6284419;Magnoliopsida;Laurales;Lauraceae;Beilschmiedia;miersii;;Kosterm.;;;Beilschmiedia miersii (Gay) Kosterm.;ACCEPTED;Viva;Nativa;2019;;;
AA0401;;348531;6284414;Magnoliopsida;Laurales;Lauraceae;Cryptocarya;alba;;Looser.;;;Cryptocarya alba (Molina.) Looser.;ACCEPTED;Viva;Nativa;2019;;;
AA0402;;348532;6284410;Magnoliopsida;Laurales;Lauraceae;Cryptocarya;alba;;Looser.;;;Cryptocarya alba (Molina.) Looser.;ACCEPTED;Viva;Nativa;2019;;;
AA0403;;348528;6284409;Magnoliopsida;Celastrales;Celastraceae;Maytenus;boaria;;Molina.;;;Maytenus boaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0404;;348523;6284409;Magnoliopsida;Oxalidales;Elaeocarpaceae;Aristotelia;chilensis;;Stuntz.;;;Aristotelia chilensis Stuntz.;ACCEPTED;Viva;Nativa;2019;;;
AA0405;;348518;6284407;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;latifolius;;Engl.;;;Schinus latifolius Engl.;ACCEPTED;Viva;Nativa;2019;;;
AA0406;;348523;6284407;Magnoliopsida;Laurales;Lauraceae;Beilschmiedia;miersii;;Kosterm.;;;Beilschmiedia miersii (Gay) Kosterm.;ACCEPTED;Viva;Nativa;2019;;;
AA0407;;348530;6284405;Magnoliopsida;Laurales;Lauraceae;Cryptocarya;alba;;Looser.;;;Cryptocarya alba (Molina.) Looser.;ACCEPTED;Viva;Nativa;2019;;;
AA0408;;348527;6284404;Magnoliopsida;Celastrales;Celastraceae;Maytenus;boaria;;Molina.;;;Maytenus boaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0409;;348523;6284403;Magnoliopsida;Celastrales;Celastraceae;Maytenus;boaria;;Molina.;;;Maytenus boaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0410;;348518;6284402;Magnoliopsida;Oxalidales;Elaeocarpaceae;Aristotelia;chilensis;;Stuntz.;;;Aristotelia chilensis Stuntz.;ACCEPTED;Viva;Nativa;2019;;;
AA0411;;348505;6284404;Magnoliopsida;Malpighiales;Salicaceae;Populus;simonii;;Carrière;;;Populus simonii Carrière;ACCEPTED;Extraido;Exotica;2019;;;
AA0412;;348501;6284405;Magnoliopsida;Celastrales;Celastraceae;Maytenus;boaria;;Molina.;;;Maytenus boaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0413;;348496;6284405;Magnoliopsida;Malpighiales;Salicaceae;Populus;simonii;;Carrière;;;Populus simonii Carrière;ACCEPTED;Extraido;Exotica;2019;;;
AA0414;;348490;6284401;Magnoliopsida;Fabales;Quillajaceae;Quillaja;saponaria;;Molina.;;;Quillaja saponaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0415;;348487;6284399;Liliopsida;Asparagales;Asparagaceae;Agave;americana;;L.;;;Agave americana L.;ACCEPTED;Viva;Exotica;2019;;;
AA0416;;348486;6284402;Magnoliopsida;Fabales;Quillajaceae;Quillaja;saponaria;;Molina.;;;Quillaja saponaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0417;;348487;6284406;Magnoliopsida;Fabales;Quillajaceae;Quillaja;saponaria;;Molina.;;;Quillaja saponaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0418;;348488;6284411;Magnoliopsida;Fabales;Quillajaceae;Quillaja;saponaria;;Molina.;;;Quillaja saponaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0419;;348494;6284410;Magnoliopsida;Laurales;Lauraceae;Cryptocarya;alba;;Looser.;;;Cryptocarya alba (Molina.) Looser.;ACCEPTED;Viva;Nativa;2019;;;
AA0420;;348510;6284408;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;latifolius;;Engl.;;;Schinus latifolius Engl.;ACCEPTED;Viva;Nativa;2019;;;
AA0421;;348509;6284413;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;latifolius;;Engl.;;;Schinus latifolius Engl.;ACCEPTED;Viva;Nativa;2019;;;
AA0422;;348507;6284416;Magnoliopsida;Laurales;Lauraceae;Beilschmiedia;miersii;;Kosterm.;;;Beilschmiedia miersii (Gay) Kosterm.;ACCEPTED;Viva;Nativa;2019;;;
AA0423;;348504;6284419;Magnoliopsida;Laurales;Lauraceae;Cryptocarya;alba;;Looser.;;;Cryptocarya alba (Molina.) Looser.;ACCEPTED;Viva;Nativa;2019;;;
AA0424;;348498;6284417;Magnoliopsida;Fabales;Fabaceae;Senna;candolleana;;H.S.Irwin & Barneby;;;Senna candolleana (Vogel) H.S.Irwin & Barneby;ACCEPTED;Viva;Nativa;2019;;;
AA0425;;348489;6284415;Magnoliopsida;Fabales;Quillajaceae;Quillaja;saponaria;;Molina.;;;Quillaja saponaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0426;;348489;6284418;Magnoliopsida;Fabales;Quillajaceae;Quillaja;saponaria;;Molina.;;;Quillaja saponaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0427;;348497;6284420;Magnoliopsida;Laurales;Lauraceae;Cryptocarya;alba;;Looser.;;;Cryptocarya alba (Molina.) Looser.;ACCEPTED;Viva;Nativa;2019;;;
AA0428;;348499;6284422;Magnoliopsida;Laurales;Lauraceae;Beilschmiedia;miersii;;Kosterm.;;;Beilschmiedia miersii (Gay) Kosterm.;ACCEPTED;Viva;Nativa;2019;;;
AA0429;;348510;6284426;Magnoliopsida;Laurales;Lauraceae;Cryptocarya;alba;;Looser.;;;Cryptocarya alba (Molina.) Looser.;ACCEPTED;Viva;Nativa;2019;;;
AA0430;;348508;6284429;Magnoliopsida;Laurales;Lauraceae;Cryptocarya;alba;;Looser.;;;Cryptocarya alba (Molina.) Looser.;ACCEPTED;Viva;Nativa;2019;;;
AA0431;;348495;6284424;Magnoliopsida;Laurales;Lauraceae;Beilschmiedia;miersii;;Kosterm.;;;Beilschmiedia miersii (Gay) Kosterm.;ACCEPTED;Viva;Nativa;2019;;;
AA0432;;348493;6284421;Magnoliopsida;Laurales;Lauraceae;Beilschmiedia;miersii;;Kosterm.;;;Beilschmiedia miersii (Gay) Kosterm.;ACCEPTED;Viva;Nativa;2019;;;
AA0433;;348490;6284422;Magnoliopsida;Fabales;Quillajaceae;Quillaja;saponaria;;Molina.;;;Quillaja saponaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0434;;348491;6284426;Magnoliopsida;Fabales;Quillajaceae;Quillaja;saponaria;;Molina.;;;Quillaja saponaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0435;;348497;6284430;Magnoliopsida;Laurales;Lauraceae;Beilschmiedia;miersii;;Kosterm.;;;Beilschmiedia miersii (Gay) Kosterm.;ACCEPTED;Viva;Nativa;2019;;;
AA0436;;348493;6284431;Magnoliopsida;Fabales;Quillajaceae;Quillaja;saponaria;;Molina.;;;Quillaja saponaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0437;;348493;6284434;Magnoliopsida;Fabales;Quillajaceae;Quillaja;saponaria;;Molina.;;;Quillaja saponaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0438;;348494;6284439;Magnoliopsida;Fabales;Quillajaceae;Quillaja;saponaria;;Molina.;;;Quillaja saponaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0439;;348495;6284443;Magnoliopsida;Fabales;Quillajaceae;Quillaja;saponaria;;Molina.;;;Quillaja saponaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0440;;348495;6284447;Magnoliopsida;Fabales;Quillajaceae;Quillaja;saponaria;;Molina.;;;Quillaja saponaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0441;;348496;6284451;Magnoliopsida;Fabales;Quillajaceae;Quillaja;saponaria;;Molina.;;;Quillaja saponaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0442;;348497;6284454;Magnoliopsida;Fabales;Quillajaceae;Quillaja;saponaria;;Molina.;;;Quillaja saponaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0443;;348498;6284459;Liliopsida;Arecales;Arecaceae;Jubaea;chilensis;;Baill.;;;Jubaea chilensis Baill.;ACCEPTED;Viva;Nativa;2019;;;
AA0444;;348501;6284458;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0445;;348502;6284455;Magnoliopsida;Fabales;Quillajaceae;Quillaja;saponaria;;Molina.;;;Quillaja saponaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0446;;348540;6284410;Magnoliopsida;Fabales;Fabaceae;Sophora;cassioides;;Sparre;;;Sophora cassioides (Phil.) Sparre;ACCEPTED;Viva;Nativa;2019;;;
AA0447;;348536;6284432;Magnoliopsida;Laurales;Lauraceae;Cryptocarya;alba;;Looser.;;;Cryptocarya alba (Molina.) Looser.;ACCEPTED;Viva;Nativa;2019;;;
AA0448;;348510;6284419;Magnoliopsida;Solanales;Solanaceae;Cestrum;parqui;;L'Hér.;;;Cestrum parqui L'Hér.;ACCEPTED;Viva;Nativa;2019;;;
AA0449;;348527;6284427;Magnoliopsida;Fagales;Nothofagaceae;Nothofagus;obliqua;;Oerst.;;;Nothofagus obliqua (Mirb.) Oerst.;ACCEPTED;Viva;Nativa;2019;2017;;
AA0450;;348535;6284423;Magnoliopsida;Fagales;Nothofagaceae;Nothofagus;obliqua;;Oerst.;;;Nothofagus obliqua (Mirb.) Oerst.;ACCEPTED;Viva;Nativa;2019;2017;;
AA0451;;348535;6284426;Magnoliopsida;Fagales;Nothofagaceae;Nothofagus;obliqua;;Oerst.;;;Nothofagus obliqua (Mirb.) Oerst.;ACCEPTED;Viva;Nativa;2019;2017;;
AA0452;;348502;6284404;Magnoliopsida;Solanales;Solanaceae;Cestrum;parqui;;L'Hér.;;;Cestrum parqui L'Hér.;ACCEPTED;Viva;Nativa;2019;;;
AA0453;;348517;6284452;Magnoliopsida;Fabales;Quillajaceae;Quillaja;saponaria;;Molina.;;;Quillaja saponaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0454;;348523;6284452;Magnoliopsida;Fabales;Quillajaceae;Quillaja;saponaria;;Molina.;;;Quillaja saponaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0455;;348528;6284451;Magnoliopsida;Fabales;Quillajaceae;Quillaja;saponaria;;Molina.;;;Quillaja saponaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0456;;348533;6284451;Magnoliopsida;Fabales;Quillajaceae;Quillaja;saponaria;;Molina.;;;Quillaja saponaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0457;;348539;6284443;Magnoliopsida;Fagales;Fagaceae;Quercus;ilex;;L.;;;Quercus ilex L.;ACCEPTED;Viva;Exotica;2019;;;
AA0458;;348539;6284451;Magnoliopsida;Fabales;Fabaceae;Ceratonia;siliqua;;L.;;;Ceratonia siliqua L.;ACCEPTED;Viva;Exotica;2019;;;
AA0459;;348544;6284442;Magnoliopsida;Malpighiales;Salicaceae;Azara;integrifolia;;Ruiz & Pav.;;;Azara integrifolia Ruiz & Pav.;ACCEPTED;Viva;Nativa;2019;;;
AA0460;;348544;6284443;Magnoliopsida;Fabales;Fabaceae;Vachellia;caven;;Molina.;;;Acacia caven (Molina.) Molina.;SYNONYM;Viva;Nativa;2019;;;
AA0461;;348543;6284444;Magnoliopsida;Laurales;Lauraceae;Cryptocarya;alba;;Looser.;;;Cryptocarya alba (Molina.) Looser.;ACCEPTED;Viva;Nativa;2019;;;
AA0462;;348545;6284446;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;latifolius;;Engl.;;;Schinus latifolius Engl.;ACCEPTED;Viva;Nativa;2019;;;
AA0463;;348543;6284449;Magnoliopsida;Malpighiales;Euphorbiaceae;Colliguaja;odorifera;;Molina.;;;Colliguaja odorifera Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0464;;348543;6284453;Magnoliopsida;Laurales;Lauraceae;Cryptocarya;alba;;Looser.;;;Cryptocarya alba (Molina.) Looser.;ACCEPTED;Viva;Nativa;2019;;;
AA0465;;348546;6284456;Magnoliopsida;Fabales;Fabaceae;Caesalpinia;spinosa;;Kuntze;;;Caesalpinia spinosa (Molina.) Kuntze;ACCEPTED;Viva;Nativa;2019;;;
AA0466;;348539;6284456;Magnoliopsida;Fabales;Fabaceae;Prosopis;chilensis;;Stuntz.;;;Prosopis chilensis Stuntz.;ACCEPTED;Viva;Nativa;2019;;;
AA0467;;348538;6284460;Magnoliopsida;Fabales;Fabaceae;Prosopis;chilensis;;Stuntz.;;;Prosopis chilensis Stuntz.;ACCEPTED;Viva;Nativa;2019;;;
AA0468;;348536;6284470;Magnoliopsida;Rosales;Rosaceae;Prunus;cerasifera;;Ehrh.;;;Prunus cerasifera Ehrh.;ACCEPTED;Viva;Nativa;2019;;;
AA0469;;348511;6284467;Magnoliopsida;Fagales;Fagaceae;Quercus;suber;;L.;;;Quercus suber L.;ACCEPTED;Viva;Exotica;2019;;;
AA0470;;348515;6284467;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0471;;348520;6284467;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0472;;348522;6284468;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0473;;348525;6284466;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0474;;348529;6284466;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0475;;348532;6284466;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0476;;348544;6284440;Magnoliopsida;Fabales;Quillajaceae;Quillaja;saponaria;;Molina.;;;Quillaja saponaria Molina.;ACCEPTED;Viva;Nativa;2019;;;
AA0477;;348544;6284441;Magnoliopsida;Lamiales;Oleaceae;Ligustrum;lucidum;;W.T.Aiton;;;Ligustrum lucidum W.T.Aiton;ACCEPTED;Extraido;Exotica;2019;;;
AA0478;;348544;6284448;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;latifolius;;Engl.;;;Schinus latifolius Engl.;ACCEPTED;Viva;Nativa;2019;;;
AA0479;;348538;6284448;Magnoliopsida;Lamiales;Oleaceae;Jasminum;mesnyi;;Hance;;;Jasminum mesnyi Hance;ACCEPTED;Viva;Exotica;2019;;;
AA0480;;348534;6284421;Magnoliopsida;Myrtales;Myrtaceae;Luma;chequen;;A.Gray;;;Luma chequen (Molina.) A.Gray;ACCEPTED;Viva;Nativa;2019;2014;;
AA0481;;348536;6284424;Magnoliopsida;Fagales;Nothofagaceae;Nothofagus;obliqua;;Oerst.;;;Nothofagus obliqua (Mirb.) Oerst.;ACCEPTED;Viva;Nativa;2019;2014;;
AA0482;;348536;6284430;Magnoliopsida;Myrtales;Myrtaceae;Luma;chequen;;A.Gray;;;Luma chequen (Molina.) A.Gray;ACCEPTED;Viva;Nativa;2019;2014;;
