catalogNumber,catalogNumber,basisOfRecord,decimalLatitude,decimalLongitude,phylum,Class,order,family,genus,specificEpithet,infraspecificEpithet,nameAcordingTo,verbatimTaxonRank,taxonRank,acceptedNameUsage,Nombre común,Estado,establishmentMeans,ingreso,plantacion,sex
AA0277,AA0277,LivingSpecimen,348580,6284434,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,cerasifera,,Ehrh.,,species,Prunus cerasifera Ehrh.,,Viva,Exótica,2019,,hermaphrodite
AA0278,AA0278,LivingSpecimen,348583,6284433,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,cerasifera,,Ehrh.,,species,Prunus cerasifera Ehrh.,,Viva,Exótica,2019,,hermaphrodite
AA0279,AA0279,LivingSpecimen,348581,6284429,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,caven,,(Molina) Molina,,species,Acacia caven (Molina) Molina,,Viva,Nativa,2019,,hermaphrodite
AA0280,AA0280,LivingSpecimen,348582,6284425,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,cerasifera,,Ehrh.,,species,Prunus cerasifera Ehrh.,,Viva,Exótica,2019,,hermaphrodite
AA0281,AA0281,LivingSpecimen,348583,6284420,Tracheophyta,Magnoliopsida,Fabales,Quillajaceae,Quillaja,saponaria,,(Molina) Molina,,species,Quillaja saponaria (Molina) Molina,,Viva,Nativa,2019,,hermaphrodite
AA0282,AA0282,LivingSpecimen,348582,6284409,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,caven,,(Molina) Molina,,species,Acacia caven (Molina) Molina,,Viva,Nativa,2019,,hermaphrodite
AA0283,AA0283,LivingSpecimen,348579,6284415,Tracheophyta,Magnoliopsida,Fabales,Quillajaceae,Quillaja,saponaria,,(Molina) Molina,,species,Quillaja saponaria (Molina) Molina,,Viva,Nativa,2019,,hermaphrodite
AA0284,AA0284,LivingSpecimen,348577,6284422,Tracheophyta,Liliopsida,Arecales,Arecaceae,Jubaea,chilensis,,Baill.,,species,Jubaea chilensis Baill.,,Viva,Nativa,2019,,hermaphrodite
AA0285,AA0285,LivingSpecimen,348574,6284426,Tracheophyta,Liliopsida,Arecales,Arecaceae,Jubaea,chilensis,,Baill.,,species,Jubaea chilensis Baill.,,Viva,Nativa,2019,,hermaphrodite
AA0286,AA0286,LivingSpecimen,348577,6284428,Tracheophyta,Liliopsida,Arecales,Arecaceae,Jubaea,chilensis,,Baill.,,species,Jubaea chilensis Baill.,,Viva,Nativa,2019,,hermaphrodite
AA0287,AA0287,LivingSpecimen,348577,6284435,Tracheophyta,Liliopsida,Arecales,Arecaceae,Jubaea,chilensis,,Baill.,,species,Jubaea chilensis Baill.,,Viva,Nativa,2019,,hermaphrodite
AA0288,AA0288,LivingSpecimen,348575,6284434,Tracheophyta,Liliopsida,Arecales,Arecaceae,Jubaea,chilensis,,Baill.,,species,Jubaea chilensis Baill.,,Viva,Nativa,2019,,hermaphrodite
AA0289,AA0289,LivingSpecimen,348578,6284441,Tracheophyta,Liliopsida,Arecales,Arecaceae,Jubaea,chilensis,,Baill.,,species,Jubaea chilensis Baill.,,Viva,Nativa,2019,,hermaphrodite
AA0290,AA0290,LivingSpecimen,348574,6284441,Tracheophyta,Liliopsida,Arecales,Arecaceae,Jubaea,chilensis,,Baill.,,species,Jubaea chilensis Baill.,,Viva,Nativa,2019,,hermaphrodite
AA0291,AA0291,LivingSpecimen,348570,6284439,Tracheophyta,Magnoliopsida,Celastrales,Celastraceae,Maytenus,boaria,,(Molina) Molina,,species,Maytenus boaria (Molina) Molina,,Viva,Nativa,2019,,
AA0292,AA0292,LivingSpecimen,348571,6284447,Tracheophyta,Magnoliopsida,Fabales,Quillajaceae,Quillaja,saponaria,,(Molina) Molina,,species,Quillaja saponaria (Molina) Molina,,Viva,Nativa,2019,,hermaphrodite
AA0293,AA0293,LivingSpecimen,348568,6284451,Tracheophyta,Magnoliopsida,Fabales,Quillajaceae,Quillaja,saponaria,,(Molina) Molina,,species,Quillaja saponaria (Molina) Molina,,Viva,Nativa,2019,,hermaphrodite
AA0294,AA0294,LivingSpecimen,348567,6284451,Tracheophyta,Magnoliopsida,Oxalidales,Elaeocarpaceae,Aristotelia,chilensis,,Stuntz,,species,Aristotelia chilensis Stuntz,,Viva,Nativa,2019,,hermaphrodite
AA0295,AA0295,LivingSpecimen,348565,6284452,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,cerasifera,,Ehrh.,,species,Prunus cerasifera Ehrh.,,Viva,Exótica,2019,,hermaphrodite
AA0296,AA0296,LivingSpecimen,348563,6284447,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Gleditsia,triacanthos,,L.,,species,Gleditsia triacanthos L.,,Viva,Exótica,2019,,hermaphrodite
AA0297,AA0297,LivingSpecimen,348563,6284444,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,cerasifera,,Ehrh.,,species,Prunus cerasifera Ehrh.,,Viva,Exótica,2019,,hermaphrodite
AA0298,AA0298,LivingSpecimen,348565,6284446,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,cerasifera,,Ehrh.,,species,Prunus cerasifera Ehrh.,,Viva,Exótica,2019,,hermaphrodite
AA0299,AA0299,LivingSpecimen,348568,6284439,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Schinus,polygama,,Cabrera & I.M.Johnst.,,species,Schinus polygama Cabrera & I.M.Johnst.,,Viva,Nativa,2019,,hermaphrodite
AA0300,AA0300,LivingSpecimen,348568,6284435,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Schinus,polygama,,Cabrera & I.M.Johnst.,,species,Schinus polygama Cabrera & I.M.Johnst.,,Viva,Nativa,2019,,hermaphrodite
AA0301,AA0301,LivingSpecimen,348565,6284439,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Senna,candolleana,,H.S.Irwin & Barneby,,species,Senna candolleana H.S.Irwin & Barneby,,Viva,Nativa,2019,,hermaphrodite
AA0302,AA0302,LivingSpecimen,348563,6284435,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,cerasifera,,Ehrh.,,species,Prunus cerasifera Ehrh.,,Viva,Exótica,2019,,hermaphrodite
AA0303,AA0303,LivingSpecimen,348563,6284433,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Cryptocarya,alba,,Looser,,species,Cryptocarya alba Looser,,Viva,Nativa,2019,,hermaphrodite
AA0304,AA0304,LivingSpecimen,348561,6284427,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Morus,alba,,L.,,species,Morus alba L.,,Extraído,Exótica,2019,,hermaphrodite
AA0305,AA0305,LivingSpecimen,348561,6284424,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,cerasifera,,Ehrh.,,species,Prunus cerasifera Ehrh.,,Viva,Exótica,2019,,hermaphrodite
AA0306,AA0306,LivingSpecimen,348562,6284424,Tracheophyta,Magnoliopsida,Fabales,Quillajaceae,Quillaja,saponaria,,(Molina) Molina,,species,Quillaja saponaria (Molina) Molina,,Viva,Nativa,2019,,hermaphrodite
AA0307,AA0307,LivingSpecimen,348566,6284429,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Senna,candolleana,,H.S.Irwin & Barneby,,species,Senna candolleana H.S.Irwin & Barneby,,Viva,Nativa,2019,,hermaphrodite
AA0308,AA0308,LivingSpecimen,348568,6284428,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Senna,candolleana,,H.S.Irwin & Barneby,,species,Senna candolleana H.S.Irwin & Barneby,,Viva,Nativa,2019,,hermaphrodite
AA0309,AA0309,LivingSpecimen,348571,6284424,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,ilex,,L.,,species,Quercus ilex L.,,Viva,Exótica,2019,,
AA0310,AA0310,LivingSpecimen,348568,6284422,Tracheophyta,Magnoliopsida,Fabales,Quillajaceae,Quillaja,saponaria,,(Molina) Molina,,species,Quillaja saponaria (Molina) Molina,,Viva,Nativa,2019,,hermaphrodite
AA0311,AA0311,LivingSpecimen,348561,6284421,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Schinus,latifolius,,Engl.,,species,Schinus latifolius Engl.,,Viva,Nativa,2019,,hermaphrodite
AA0312,AA0312,LivingSpecimen,348561,6284419,Tracheophyta,Magnoliopsida,Celastrales,Celastraceae,Maytenus,boaria,,(Molina) Molina,,species,Maytenus boaria (Molina) Molina,,Viva,Nativa,2019,,
AA0313,AA0313,LivingSpecimen,348561,6284416,Tracheophyta,Magnoliopsida,Celastrales,Celastraceae,Maytenus,boaria,,(Molina) Molina,,species,Maytenus boaria (Molina) Molina,,Viva,Nativa,2019,,
AA0314,AA0314,LivingSpecimen,348559,6284414,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Crataegus,monogyna,,Jacq.,,species,Crataegus monogyna Jacq.,,Extraído,Exótica,2019,,hermaphrodite
AA0315,AA0315,LivingSpecimen,348558,6284412,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,cerasifera,,Ehrh.,,species,Prunus cerasifera Ehrh.,,Viva,Exótica,2019,,hermaphrodite
AA0316,AA0316,LivingSpecimen,348568,6284413,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Senna,candolleana,,H.S.Irwin & Barneby,,species,Senna candolleana H.S.Irwin & Barneby,,Viva,Nativa,2019,,hermaphrodite
AA0317,AA0317,LivingSpecimen,348566,6284417,Tracheophyta,Magnoliopsida,Fabales,Quillajaceae,Quillaja,saponaria,,(Molina) Molina,,species,Quillaja saponaria (Molina) Molina,,Viva,Nativa,2019,,hermaphrodite
AA0318,AA0318,LivingSpecimen,348558,6284407,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Sophora,macrocarpa,,Sm.,,species,Sophora macrocarpa Sm.,,Viva,Nativa,2019,,hermaphrodite
AA0319,AA0319,LivingSpecimen,348562,6284404,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Cryptocarya,alba,,Looser,,species,Cryptocarya alba Looser,,Viva,Nativa,2019,,hermaphrodite
AA0320,AA0320,LivingSpecimen,348561,6284403,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Cryptocarya,alba,,Looser,,species,Cryptocarya alba Looser,,Viva,Nativa,2019,,hermaphrodite
AA0321,AA0321,LivingSpecimen,348564,6284398,Tracheophyta,Magnoliopsida,Escalloniales,Escalloniaceae,Escallonia,,,Mutis ex L.f.,,species,Escallonia  Mutis ex L.f.,,Viva,Nativa,2019,,hermaphrodite
AA0322,AA0322,LivingSpecimen,348561,6284401,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Cryptocarya,alba,,Looser,,species,Cryptocarya alba Looser,,Viva,Nativa,2019,,hermaphrodite
AA0323,AA0323,LivingSpecimen,348561,6284398,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Cryptocarya,alba,,Looser,,species,Cryptocarya alba Looser,,Viva,Nativa,2019,,hermaphrodite
AA0324,AA0324,LivingSpecimen,348559,6284400,Tracheophyta,Liliopsida,Arecales,Arecaceae,Jubaea,chilensis,,Baill.,,species,Jubaea chilensis Baill.,,Viva,Nativa,2019,,hermaphrodite
AA0325,AA0325,LivingSpecimen,348557,6284398,Tracheophyta,Liliopsida,Arecales,Arecaceae,Jubaea,chilensis,,Baill.,,species,Jubaea chilensis Baill.,,Viva,Nativa,2019,,hermaphrodite
AA0326,AA0326,LivingSpecimen,348553,6284396,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Cryptocarya,alba,,Looser,,species,Cryptocarya alba Looser,,Viva,Nativa,2019,,hermaphrodite
AA0327,AA0327,LivingSpecimen,348563,6284383,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,azedarach,,L.,,species,Melia azedarach L.,,Viva,Exótica,2019,,hermaphrodite
AA0328,AA0328,LivingSpecimen,348567,6284382,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,azedarach,,L.,,species,Melia azedarach L.,,Viva,Exótica,2019,,hermaphrodite
AA0329,AA0329,LivingSpecimen,348571,6284382,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,azedarach,,L.,,species,Melia azedarach L.,,Viva,Exótica,2019,,hermaphrodite
AA0330,AA0330,LivingSpecimen,348577,6284382,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,azedarach,,L.,,species,Melia azedarach L.,,Viva,Exótica,2019,,hermaphrodite
AA0331,AA0331,LivingSpecimen,348583,6284380,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,azedarach,,L.,,species,Melia azedarach L.,,Viva,Exótica,2019,,hermaphrodite
AA0332,AA0332,LivingSpecimen,348586,6284380,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,azedarach,,L.,,species,Melia azedarach L.,,Viva,Exótica,2019,,hermaphrodite
AA0333,AA0333,LivingSpecimen,348584,6284387,Tracheophyta,Pinopsida,Pinales,Pinaceae,Cedrus,deodara,,G.Don,,species,Cedrus deodara G.Don,,Viva,Exótica,2019,,
AA0334,AA0334,LivingSpecimen,348576,6284391,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,azedarach,,L.,,species,Melia azedarach L.,,Viva,Exótica,2019,,hermaphrodite
AA0335,AA0335,LivingSpecimen,348571,6284388,Tracheophyta,Pinopsida,Pinales,Pinaceae,Cedrus,deodara,,G.Don,,species,Cedrus deodara G.Don,,Viva,Exótica,2019,,
AA0336,AA0336,LivingSpecimen,348560,6284383,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,azedarach,,L.,,species,Melia azedarach L.,,Viva,Exótica,2019,,hermaphrodite
AA0337,AA0337,LivingSpecimen,348556,6284384,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,azedarach,,L.,,species,Melia azedarach L.,,Viva,Exótica,2019,,hermaphrodite
AA0338,AA0338,LivingSpecimen,348553,6284384,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,azedarach,,L.,,species,Melia azedarach L.,,Viva,Exótica,2019,,hermaphrodite
AA0339,AA0339,LivingSpecimen,348550,6284385,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,azedarach,,L.,,species,Melia azedarach L.,,Viva,Exótica,2019,,hermaphrodite
AA0340,AA0340,LivingSpecimen,348545,6284386,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,azedarach,,L.,,species,Melia azedarach L.,,Viva,Exótica,2019,,hermaphrodite
AA0341,AA0341,LivingSpecimen,348561,6284391,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Robinia,pseudoacacia,,L.,,species,Robinia pseudoacacia L.,,Viva,Exótica,2019,,hermaphrodite
AA0342,AA0342,LivingSpecimen,348581,6284392,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Colliguaja,odorifera,,(Molina) Molina,,species,Colliguaja odorifera (Molina) Molina,,Viva,Nativa,2019,,hermaphrodite
AA0343,AA0343,LivingSpecimen,348587,6284390,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Colliguaja,odorifera,,(Molina) Molina,,species,Colliguaja odorifera (Molina) Molina,,Viva,Nativa,2019,,hermaphrodite
AA0344,AA0344,LivingSpecimen,348558,6284392,Tracheophyta,Magnoliopsida,Sapindales,Simaroubaceae,Ailanthus,altissima,,Swingle,,species,Ailanthus altissima Swingle,,Extraído,Exótica,2019,,hermaphrodite
AA0345,AA0345,LivingSpecimen,348548,6284389,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Fuchsia,magellanica,,Lam.,,species,Fuchsia magellanica Lam.,,Viva,Nativa,2019,2015.0,hermaphrodite
AA0346,AA0346,LivingSpecimen,348553,6284381,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Sophora,macrocarpa,,Sm.,,species,Sophora macrocarpa Sm.,,Viva,Nativa,2019,,hermaphrodite
AA0347,AA0347,LivingSpecimen,348553,6284379,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Fuchsia,magellanica,,Lam.,,species,Fuchsia magellanica Lam.,,Viva,Nativa,2019,2015.0,hermaphrodite
AA0348,AA0348,LivingSpecimen,348640,6284387,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Geoffroea,decorticans,,Burkart,,species,Geoffroea decorticans Burkart,,Viva,Nativa,2019,2015.0,hermaphrodite
AA0349,AA0349,LivingSpecimen,348640,6284394,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Geoffroea,decorticans,,Burkart,,species,Geoffroea decorticans Burkart,,Viva,Nativa,2019,2015.0,hermaphrodite
AA0350,AA0350,LivingSpecimen,348640,6284401,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Geoffroea,decorticans,,Burkart,,species,Geoffroea decorticans Burkart,,Viva,Nativa,2019,2015.0,hermaphrodite
AA0351,AA0351,LivingSpecimen,348633,6284418,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Geoffroea,decorticans,,Burkart,,species,Geoffroea decorticans Burkart,,Viva,Nativa,2019,2015.0,hermaphrodite
AA0352,AA0352,LivingSpecimen,348633,6284415,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Prosopis,alba,,Griseb.,,species,Prosopis alba Griseb.,,Viva,Nativa,2019,2016.0,hermaphrodite
AA0353,AA0353,LivingSpecimen,348631,6284417,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Prosopis,alba,,Griseb.,,species,Prosopis alba Griseb.,,Viva,Nativa,2019,,hermaphrodite
AA0354,AA0354,LivingSpecimen,348630,6284411,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Polylepis,rugulosa,,Bitter,,species,Polylepis rugulosa Bitter,,Viva,Nativa,2019,2016.0,
AA0355,AA0355,LivingSpecimen,348630,6284398,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Prosopis,chilensis,,Stuntz,,species,Prosopis chilensis Stuntz,,Viva,Nativa,2019,2016.0,hermaphrodite
AA0356,AA0356,LivingSpecimen,348632,6284393,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinia,spinosa,,Kuntze,,species,Caesalpinia spinosa Kuntze,,Viva,Nativa,2019,2016.0,hermaphrodite
AA0357,AA0357,LivingSpecimen,348628,6284390,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Caesalpinia,spinosa,,Kuntze,,species,Caesalpinia spinosa Kuntze,,Viva,Nativa,2019,2016.0,hermaphrodite
AA0358,AA0358,LivingSpecimen,348625,6284392,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Monttea,chilensis,,J.Gay,,species,Monttea chilensis J.Gay,,Viva,Nativa,2019,2016.0,
AA0359,AA0359,LivingSpecimen,348625,6284400,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Polylepis,rugulosa,,Bitter,,species,Polylepis rugulosa Bitter,,Viva,Nativa,2019,2016.0,
AA0360,AA0360,LivingSpecimen,348622,6284397,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Prosopis,chilensis,,Stuntz,,species,Prosopis chilensis Stuntz,,Viva,Nativa,2019,2016.0,hermaphrodite
AA0361,AA0361,LivingSpecimen,348622,6284395,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Geoffroea,decorticans,,Burkart,,species,Geoffroea decorticans Burkart,,Viva,Nativa,2019,2015.0,hermaphrodite
AA0362,AA0362,LivingSpecimen,348623,6284390,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Monttea,chilensis,,J.Gay,,species,Monttea chilensis J.Gay,,Viva,Nativa,2019,2016.0,
AA0363,AA0363,LivingSpecimen,348619,6284398,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Geoffroea,decorticans,,Burkart,,species,Geoffroea decorticans Burkart,,Viva,Nativa,2019,2015.0,hermaphrodite
AA0364,AA0364,LivingSpecimen,348620,6284408,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Polylepis,tarapacana,,Phil.,,species,Polylepis tarapacana Phil.,,Viva,Nativa,2019,2016.0,
AA0365,AA0365,LivingSpecimen,348615,6284412,Tracheophyta,Magnoliopsida,Brassicales,Caricaceae,Vasconcellea,chilensis,,Solms,,species,Vasconcellea chilensis Solms,,Viva,Nativa,2019,2016.0,
AA0366,AA0366,LivingSpecimen,348610,6284412,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Prosopis,tamarugo,,Phil.,,species,Prosopis tamarugo Phil.,,Viva,Nativa,2019,,hermaphrodite
AA0367,AA0367,LivingSpecimen,348607,6284410,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Prosopis,tamarugo,,Phil.,,species,Prosopis tamarugo Phil.,,Viva,Nativa,2019,,hermaphrodite
AA0368,AA0368,LivingSpecimen,348612,6284394,Tracheophyta,Magnoliopsida,Boraginales,Ehretiaceae,Cordia,decandra,,Hook. & Arn.,,species,Cordia decandra Hook. & Arn.,,Viva,Nativa,2019,2016.0,
AA0369,AA0369,LivingSpecimen,348612,6284389,Tracheophyta,Magnoliopsida,Boraginales,Ehretiaceae,Cordia,decandra,,Hook. & Arn.,,species,Cordia decandra Hook. & Arn.,,Viva,Nativa,2019,2016.0,
AA0370,AA0370,LivingSpecimen,348601,6284410,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,macracantha,,Humb. & Bonpl. ex Willd.,,species,Acacia macracantha Humb. & Bonpl. ex Willd.,,Viva,Nativa,2019,2016.0,hermaphrodite
AA0371,AA0371,LivingSpecimen,348595,6284414,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Prosopis,,,L.,,species,Prosopis  L.,,Viva,Nativa,2019,,hermaphrodite
AA0372,AA0372,LivingSpecimen,348541,6284390,Tracheophyta,Magnoliopsida,Oxalidales,Elaeocarpaceae,Aristotelia,chilensis,,Stuntz,,species,Aristotelia chilensis Stuntz,,Viva,Nativa,2019,,hermaphrodite
AA0373,AA0373,LivingSpecimen,348543,6284391,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Robinia,pseudoacacia,,L.,,species,Robinia pseudoacacia L.,,Viva,Exótica,2019,,hermaphrodite
AA0374,AA0374,LivingSpecimen,348534,6284394,Tracheophyta,Magnoliopsida,Laurales,Monimiaceae,Peumus,boldus,,(Molina) Molina,,species,Peumus boldus (Molina) Molina,,Viva,Nativa,2019,,female
AA0375,AA0375,LivingSpecimen,348531,6284393,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Beilschmiedia,miersii,,Kosterm.,,species,Beilschmiedia miersii Kosterm.,,Viva,Nativa,2019,,hermaphrodite
AA0376,AA0376,LivingSpecimen,348530,6284393,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Beilschmiedia,miersii,,Kosterm.,,species,Beilschmiedia miersii Kosterm.,,Viva,Nativa,2019,,hermaphrodite
AA0377,AA0377,LivingSpecimen,348530,6284394,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Beilschmiedia,miersii,,Kosterm.,,species,Beilschmiedia miersii Kosterm.,,Viva,Nativa,2019,,hermaphrodite
AA0378,AA0378,LivingSpecimen,348529,6284393,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Cryptocarya,alba,,Looser,,species,Cryptocarya alba Looser,,Viva,Nativa,2019,,hermaphrodite
AA0379,AA0379,LivingSpecimen,348528,6284394,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Cryptocarya,alba,,Looser,,species,Cryptocarya alba Looser,,Viva,Nativa,2019,,hermaphrodite
AA0380,AA0380,LivingSpecimen,348531,6284395,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Beilschmiedia,miersii,,Kosterm.,,species,Beilschmiedia miersii Kosterm.,,Viva,Nativa,2019,,hermaphrodite
AA0381,AA0381,LivingSpecimen,348536,6284398,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Cryptocarya,alba,,Looser,,species,Cryptocarya alba Looser,,Viva,Nativa,2019,,hermaphrodite
AA0382,AA0382,LivingSpecimen,348538,6284399,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Robinia,pseudoacacia,,L.,,species,Robinia pseudoacacia L.,,Viva,Exótica,2019,,hermaphrodite
AA0383,AA0383,LivingSpecimen,348538,6284403,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Cryptocarya,alba,,Looser,,species,Cryptocarya alba Looser,,Viva,Nativa,2019,,hermaphrodite
AA0384,AA0384,LivingSpecimen,348537,6284405,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Clematicissus,striata,,Ruiz & Pav.,,species,Clematicissus striata Ruiz & Pav.,,Viva,Nativa,2019,,
AA0385,AA0385,LivingSpecimen,348537,6284408,Tracheophyta,Magnoliopsida,Fabales,Quillajaceae,Quillaja,saponaria,,(Molina) Molina,,species,Quillaja saponaria (Molina) Molina,,Viva,Nativa,2019,,hermaphrodite
AA0386,AA0386,LivingSpecimen,348539,6284413,Tracheophyta,Magnoliopsida,Laurales,Monimiaceae,Peumus,boldus,,(Molina) Molina,,species,Peumus boldus (Molina) Molina,,Viva,Nativa,2019,,male
AA0387,AA0387,LivingSpecimen,348540,6284424,Tracheophyta,Magnoliopsida,Oxalidales,Elaeocarpaceae,Aristotelia,chilensis,,Stuntz,,species,Aristotelia chilensis Stuntz,,Viva,Nativa,2019,,hermaphrodite
AA0388,AA0388,LivingSpecimen,348539,6284427,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Morus,alba,,L.,,species,Morus alba L.,,Extraído,Exótica,2019,,hermaphrodite
AA0389,AA0389,LivingSpecimen,348532,6284429,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Cryptocarya,alba,,Looser,,species,Cryptocarya alba Looser,,Viva,Nativa,2019,,hermaphrodite
AA0390,AA0390,LivingSpecimen,348530,6284426,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Cryptocarya,alba,,Looser,,species,Cryptocarya alba Looser,,Viva,Nativa,2019,,hermaphrodite
AA0391,AA0391,LivingSpecimen,348527,6284425,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Cestrum,parqui,,L'Hér.,,species,Cestrum parqui L'Hér.,,Viva,Nativa,2019,,
AA0392,AA0392,LivingSpecimen,348524,6284426,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Azara,celastrina,,D.Don,,species,Azara celastrina D.Don,,Viva,Nativa,2019,,hermaphrodite
AA0393,AA0393,LivingSpecimen,348522,6284424,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Cryptocarya,alba,,Looser,,species,Cryptocarya alba Looser,,Viva,Nativa,2019,,hermaphrodite
AA0394,AA0394,LivingSpecimen,348516,6284426,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Cryptocarya,alba,,Looser,,species,Cryptocarya alba Looser,,Viva,Nativa,2019,,hermaphrodite
AA0395,AA0395,LivingSpecimen,348516,6284432,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,cerasifera,,Ehrh.,,species,Prunus cerasifera Ehrh.,,Extraído,Nativa,2019,,hermaphrodite
AA0396,AA0396,LivingSpecimen,348514,6284423,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Schinus,latifolius,,Engl.,,species,Schinus latifolius Engl.,,Viva,Nativa,2019,,hermaphrodite
AA0397,AA0397,LivingSpecimen,348512,6284419,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,excelsior,,L.,,species,Fraxinus excelsior L.,,Extraído,Exótica,2019,,hermaphrodite
AA0398,AA0398,LivingSpecimen,348519,6284420,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Cryptocarya,alba,,Looser,,species,Cryptocarya alba Looser,,Viva,Nativa,2019,,hermaphrodite
